route_id,service_id,trip_id,trip_headsign,direction_id,direction,block_id,shape_id,wheelchair_accessible,branch_letter,boarding_type
724,1,1131138,Brklyn Ctr / Transit Ctr,1,SB,159184,770724003,1,,0
72,3,1131139,Selby-Burns / University & Hamline,1,WB,156588,770072003,1,,0
323,3,1131144,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156031,770323002,1,,0
54,1,1131145,Ltd Stop / Mall Amer / Via Airport,1,WB,161380,770054008,1,,0
724,2,1131146,Brklyn Ctr / Transit Ctr,1,SB,156188,770724003,1,,0
673,1,1131148,Express / Downtown Mpls,0,EB,160811,770673004,1,,0
345,1,1131151,Airport / Mall of America,1,WB,156553,770345002,1,,0
270,6,1131153,Express / Hwy 36-Rice P&R / Minneapolis,1,WB,156706,770270004,1,,0
724,2,1131154,Starlite Ctr,0,NB,161467,770724001,1,,0
5,1,1131155,Chicago - 56St,1,SB,156239,770005006,1,B,0
72,1,1131156,Selby-Burns / Sun Ray,0,EB,156651,770072001,1,,0
80,2,1131157,White Bear / Maplwd Mall,0,NB,156391,770080002,1,,0
54,2,1131161,Ltd Stop / Mall Amer / Via Airport,1,WB,156215,770054008,1,,0
725,3,1131162,Starlite Ctr / 85 Ave / Northown,0,EB,156176,770725001,1,,0
65,2,1131165,Dale St / Rosedale,0,NB,156602,770065001,1,,0
542,1,1131167,American Blvd / Norman Ctr,1,WB,156550,770542002,1,,0
4,1,1131168,Johnson St / Silver Lk Vlg / Via Penn,0,NB,156192,770004005,1,B,0
17,2,1131173,MTKA Blvd / 24St-Uptown / Central-26Av,0,EB,160559,770017003,1,W,0
219,1,1131176,Maplewood Mall,0,NB,156288,770219002,1,,0
65,1,1131177,Dale & Grand,1,SB,156476,770065002,1,,0
65,3,1131178,Dale St / Rosedale,0,NB,156385,770065001,1,,0
219,2,1131181,Sun Ray,1,SB,156225,770219001,1,,0
534,1,1131183,American Blvd / Lyndale / 98St Station,0,EB,156037,770534002,1,,0
4,1,1131184,Lyndale Av / Knox - American,1,SB,160535,770004001,1,L,0
83,1,1131187,Lexington Pkwy / Montreal Ave,1,SB,156204,770083002,1,,0
323,2,1131189,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156111,770323002,1,,0
805,1,1131190,Coon Rapids / Riverdale / DT Anoka,0,NB,156464,770805002,1,,0
72,3,1131194,Selby-Burns / Sun Ray,0,EB,156086,770072001,1,,0
805,2,1131195,Coon Rapids / Riverdale / DT Anoka,0,NB,156098,770805002,1,,0
4,1,1131197,Johnson St / Silver Lk Vlg / Via Lyndale,0,NB,160012,770004004,1,B,0
534,1,1131198,Lyndale / American Blvd / Norm Coll,1,WB,156331,770534001,1,,0
17,2,1131200,Downtown,0,EB,160891,770017005,1,,0
323,3,1131201,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156031,770323002,1,,0
542,1,1131202,American Blvd / Norman Ctr,1,WB,155970,770542002,1,,0
75,1,1131203,Dtwn St Paul / Wabasha / Via Stryker,0,NB,156036,770075003,1,,0
542,1,1131204,NormanCtr / American Blvd / Mall America,0,EB,156150,770542001,1,,0
