route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
901,0,,METRO Blue Line,Blue Line - Mpls - Airport - MOA,0,https://www.metrotransit.org/route/blue,0053A0,ffffff,1
902,0,,METRO Green Line,Green Line - Mpls - St Paul,0,https://www.metrotransit.org/route/green,008144,ffffff,2
992,0,,Green Line Bus,Green Line Bus,3,https://www.metrotransit.org/route/grnbus,008144,ffffff,3
905,0,,METRO Gold Line,Gold Line-St Paul-Woodbury,3,https://www.metrotransit.org/route/gold,FFD200,0053A0,4
904,0,,METRO Orange Line,Orange Line-Mpls-Richfield-Bloomington-Burnsville,3,https://www.metrotransit.org/route/orange,F68A1E,ffffff,5
903,0,,METRO Red Line,Red Line - Apple Valley - Eagan - Mall of America,3,https://www.metrotransit.org/route/red,ED1B2E,ffffff,7
921,0,,METRO A Line,A Line - Roseville - Snelling Av - 46th St,3,https://www.metrotransit.org/route/aline,7A8690,ffffff,8
922,0,,METRO B Line,B Line - Lake St - Selby Av - Union Depot,3,https://www.metrotransit.org/route/bline,7A8690,ffffff,9
923,0,,METRO C Line,C Line - Penn Av - Brooklyn Center,3,https://www.metrotransit.org/route/cline,7A8690,ffffff,10
924,0,,METRO D Line,D Line - Brooklyn Ctr - Fremont - Chicago - MOA,3,https://www.metrotransit.org/route/dline,7A8690,ffffff,11
925,0,,METRO E Line,E-Line,3,https://www.metrotransit.org/route/eline,7A8690,ffffff,12
906,10,,Airport Shuttle,Light Rail Shuttle - Lindbergh - Humphrey,0,https://www.metrotransit.org/route/airprt,0053A0,ffffff,13
2,0,2,,Franklin Av - Riverside Av - U of M - 8th St SE,3,https://www.metrotransit.org/route/2,,000000,14
3,0,3,,U of M - Como Av - Energy Park Dr - Maryland Av,3,https://www.metrotransit.org/route/3,,000000,15
4,0,4,,Johnson St - Lyndale Av - Penn Av - Southtown,3,https://www.metrotransit.org/route/4,,000000,16
5,0,5,,Brooklyn Ctr - Fremont  - Chicago - 56 St Sta,3,https://www.metrotransit.org/route/5,,000000,17
7,0,7,,Plymouth-27Av-Minnehaha-46St Sta-34Av S-66st/Cedar,3,https://www.metrotransit.org/route/7,,000000,18
9,0,9,,Glenwood-Wayzata Blvd-Cedar Lk Rd-36Av S-46 St Sta,3,https://www.metrotransit.org/route/9,,000000,19
10,0,10,,Central Av - University Av - Northtown,3,https://www.metrotransit.org/route/10,,000000,20
11,0,11,,Columbia Heights - 2nd St NE - 4th Av S,3,https://www.metrotransit.org/route/11,,000000,21
14,0,14,,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,3,https://www.metrotransit.org/route/14,,000000,22
17,0,17,,Minnetonka Blvd - Uptown - Washington St NE,3,https://www.metrotransit.org/route/17,,000000,23
18,0,18,,Nicollet Av - South Bloomington,3,https://www.metrotransit.org/route/18,,000000,24
22,0,22,,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,3,https://www.metrotransit.org/route/22,,000000,25
25,2,25,,Northtown- Stinson- Lake of the Isles,3,https://www.metrotransit.org/route/25,,000000,26
27,0,27,,Uptown-26St-28St-Hiawatha-Lake,3,https://www.metrotransit.org/route/27,,000000,27
30,2,30,,Broadway Crosstown - Westgate Sta,3,https://www.metrotransit.org/route/30,,000000,28
32,0,32,,Robbinsdale - Lowry Av - Rosedale,3,https://www.metrotransit.org/route/32,,000000,29
33,2,33,,Westgate Sta - Elm St - Kasota Av - SE Mpls Indust,3,https://www.metrotransit.org/route/33,,000000,30
36,0,36,,Uptown Transit Station - via Xer- 78th and Johnson,3,https://www.metrotransit.org/route/36,771473,ffffff,31
38,0,38,,38th St-Highland Village-Uptown-Hopkins-Opus,3,https://www.metrotransit.org/route/38,,000000,32
46,0,46,,50St - 46St - 46St Sta,3,https://www.metrotransit.org/route/46,,000000,33
54,0,54,,Ltd Stop - W 7 St - Airport - MOA - Maplewood Mall,3,https://www.metrotransit.org/route/54,,000000,34
61,0,61,,E Hennepin Av - Larpenteur Av - Arcade St,3,https://www.metrotransit.org/route/61,,000000,35
62,0,62,,Shoreview - Little Canada - Rice St - Signal Hills,3,https://www.metrotransit.org/route/62,,000000,36
63,0,63,,Raymond Sta - Grand Av - Sunray,3,https://www.metrotransit.org/route/63,,000000,37
64,0,64,,Payne - Maryland - White Bear Av - Maplewood Mall,3,https://www.metrotransit.org/route/64,,000000,38
65,2,65,,Dale St - Co Rd B - Rosedale,3,https://www.metrotransit.org/route/65,,000000,39
67,0,67,,W Minnehaha Av - Raymond Sta - Franklin Av,3,https://www.metrotransit.org/route/67,,000000,40
68,0,68,,Jackson St - Robert St - W St Paul - Inver Hills,3,https://www.metrotransit.org/route/68,,000000,41
71,0,71,,Little Canada - Westminster- Concord - Inver Hills,3,https://www.metrotransit.org/route/71,,000000,42
72,2,72,,Midway-Selby Av-Burns Av-Sunray,3,https://www.metrotransit.org/route/72,,000000,43
74,0,74,,46th St - Randolph - W 7th St - E 7th St - Sunray,3,https://www.metrotransit.org/route/74,,000000,44
75,2,75,,Stryker - Robert - Lake Cove Apts,3,https://www.metrotransit.org/route/75,,000000,45
80,2,80,,Maplewood - White Bear Av - Sunray,3,https://www.metrotransit.org/route/80,,000000,46
83,2,83,,Rosedale - Lexington Av,3,https://www.metrotransit.org/route/83,,000000,47
87,2,87,,Rosedale - U of M St Paul - Cleveland - Highland,3,https://www.metrotransit.org/route/87,,000000,48
94,0,94,,Express - Mpls - St Paul,3,https://www.metrotransit.org/route/94,,000000,49
113,0,113,,Ltd Stop - Grand Av S - Lyndale Av S - U of M,3,https://www.metrotransit.org/route/113,,000000,50
114,0,114,,Ltd Stop - Uptown - U of M,3,https://www.metrotransit.org/route/114,,000000,51
120,11,120,,U of M - East Bank Circulator,3,https://www.metrotransit.org/route/120,,000000,52
121,11,121,,U of M - Campus Connector,3,https://www.metrotransit.org/route/121,,000000,53
122,11,122,,U of M - University Ave Circulator,3,https://www.metrotransit.org/route/122,,000000,54
123,11,123,,U of M - 4th Street Circulator,3,https://www.metrotransit.org/route/123,,000000,55
124,11,124,,U of M - Saint Paul Circulator,3,https://www.metrotransit.org/route/124,,000000,56
125,11,125,,U of M - Dinkytown Circulator,3,https://www.metrotransit.org/route/125,,000000,57
126,11,126,,U of M Express Campus Connector,3,https://www.metrotransit.org/route/126,,,58
134,0,134,,Ltd Stop - Highland - Cleveland - Cretin - Mpls,3,https://www.metrotransit.org/route/134,00B1EB,ffffff,59
156,0,156,,Express - 58th St - 56th St - Diamond Lake - Mpls,3,https://www.metrotransit.org/route/156,00B1EB,ffffff,60
219,2,219,,Maplewood - Century Av - Hadley Av - Sunray,3,https://www.metrotransit.org/route/219,,000000,61
223,2,223,,Rosedale-Little Canada-Maplewood,3,https://www.metrotransit.org/route/223,,000000,62
225,2,225,,Target Shoreview - Roseville - Coventry - Rosedale,3,https://www.metrotransit.org/route/225,,000000,63
227,2,227,,Target Shoreview - Victoria - Rosedale,3,https://www.metrotransit.org/route/227,,000000,64
250,0,250,,Express - Co Rd H P&R - 95th Av P&R - Mpls,3,https://www.metrotransit.org/route/250,,000000,65
252,0,252,,Express - 95Av P&R - U of M,3,https://www.metrotransit.org/route/252,,000000,66
264,0,264,,Express - Roseville - Co Rd C P & R - Mpls,3,https://www.metrotransit.org/route/264,,000000,67
270,0,270,,Express - Maplewood -  Little Canada - Minneapolis,3,https://www.metrotransit.org/route/270,,000000,68
275,0,275,,Express - Co Rd 14 P&R - Co Rd E P&R - St Paul,3,https://www.metrotransit.org/route/275,,000000,69
294,0,294,,Express - Oakdale - Stillwater - St Paul,3,https://www.metrotransit.org/route/294,,000000,70
323,2,323,,Sun Ray - McKnight Rd - Londin Ln - Woodbury,3,https://www.metrotransit.org/route/323,,000000,71
345,2,345,,MOA-Airport-Newport-Woodbury,3,https://www.metrotransit.org/route/345,A95098,ffffff,72
355,0,355,,Express - Woodbury - Mpls,3,https://www.metrotransit.org/route/355,,000000,73
363,0,363,,Express - Cottage Grove - St Paul - Mpls,3,https://www.metrotransit.org/route/363,,000000,74
467,0,467,,Express - Lakeville - Mpls,3,https://www.metrotransit.org/route/467,,000000,85
515,0,515,,Southdale - 66th St - Bloomington Av - MOA,3,https://www.metrotransit.org/route/515,,000000,98
534,2,534,,Normndale College - Knox - 98th St Sta,3,https://www.metrotransit.org/route/534,,000000,99
537,2,537,,Valley West - Normandale Col - France - Southdale,3,https://www.metrotransit.org/route/537,,000000,100
538,2,538,,Southdale - York Av - Southtown - 86th St - MOA,3,https://www.metrotransit.org/route/538,,000000,101
539,2,539,,Normandale College - 98th St - MOA,3,https://www.metrotransit.org/route/539,,000000,102
540,2,540,,Edina - Richfield - 77th St - MOA,3,https://www.metrotransit.org/route/540,,000000,103
542,2,542,,Normandale Lake - American Blvd - MOA,3,https://www.metrotransit.org/route/542,,000000,104
546,2,546,,Norm Vill - Norm Coll - Valley West - 98th St Sta,3,https://www.metrotransit.org/route/546,,000000,105
578,0,578,,Express - Edina - Southdale - Mpls,3,https://www.metrotransit.org/route/578,,000000,106
600,6,600,,SW Transit - Express - SW Sta - Gold Tri - Mpls,3,https://www.metrotransit.org/route/600,,000000,107
615,2,615,,Ridgedale - Co Rd 73 - St Louis Park,3,https://www.metrotransit.org/route/615,,000000,108
645,0,645,,Ltd Stop - Mound - Wayzata - Ridgedale - Mpls,3,https://www.metrotransit.org/route/645,,000000,109
667,0,667,,Express - Minnetonka - St Louis Park - Mpls,3,https://www.metrotransit.org/route/667,,000000,110
673,0,673,,Express - Co Rd 73 P&R - Mpls,3,https://www.metrotransit.org/route/673,,000000,111
686,6,686,,SW Transit - Southwest Station - Airport,3,https://www.metrotransit.org/route/686,47A035,ffffff,112
695,6,695,,SW Transit - Express - Chaska - Chanhassen - Mpls,3,https://www.metrotransit.org/route/695,,000000,113
698,6,698,,SW Transit - Express - Chaska - Chanhassen - Mpls,3,https://www.metrotransit.org/route/698,,000000,114
705,2,705,,Starlite - Winnetka Av - Louisiana Av Transit Ctr,3,https://www.metrotransit.org/route/705,,000000,115
716,2,716,,Zane Av - 63rd Av - Crystal - Robbinsdale,3,https://www.metrotransit.org/route/716,,000000,116
717,2,717,,Brooklyn Center - Robbinsdale - New Hope,3,https://www.metrotransit.org/route/717,,000000,117
721,0,721,,Brooklyn Center -Bass Lake Rd - Henn Tech,3,https://www.metrotransit.org/route/721,,000000,118
722,0,722,,Brooklyn Ctr - Humboldt - Shingle Creek -Oak Grove,3,https://www.metrotransit.org/route/722,,000000,119
723,0,723,,Starlite - N Henn Comm College - Brooklyn Ctr,3,https://www.metrotransit.org/route/723,,000000,120
724,0,724,,Oak Grove - Starlite - Brooklyn Ctr,3,https://www.metrotransit.org/route/724,,000000,121
